"","Spell","Rune"
"115","Furious Charge","Battering Ram"
"116","War Cry","Impunity"
"117","Berserker Rage","Passive"
"118","Weapons Master","Passive"
"119","Brawler","Passive"
"120","Rampage","Passive"
"121","Earthquake","Molten Fury"
"122","Ground Stomp","Wrenching Smash"
"123","Leap","Death from Above"
"124","Call of the Ancients","The Council Rises"
"125","War Cry","Invigorate"
"126","Wrath of the Berserker","Insanity"
"127","Berserker Rage","Passive"
"128","Brawler","Passive"
"129","Rampage","Passive"
"130","Ruthless","Passive"
"131","Call of the Ancients","The Council Rises"
"132","Furious Charge","Battering Ram"
"133","War Cry","Impunity"
"134","Wrath of the Berserker","Insanity"
"135","Sprint","Forced March"
"136","Battle Rage","Bloodshed"
"137","Berserker Rage","Passive"
"138","Ruthless","Passive"
"139","Rampage","Passive"
"140","Boon of Bul-Kathos","Passive"
"141","Avalanche","Glacier"
"142","Leap","Call of Arreat"
"143","Sprint","Forced March"
"144","War Cry","Impunity"
"145","Earthquake","Chilling Earth"
"146","Wrath of the Berserker","Striding Giant"
"147","Earthen Might","Passive"
"148","Bloodthirst","Passive"
"149","Boon of Bul-Kathos","Passive"
"150","Unforgiving","Passive"
"151","Call of the Ancients","The Council Rises"
"152","War Cry","Impunity"
"153","Furious Charge","Battering Ram"
"154","Sprint","Forced March"
"155","Battle Rage","Bloodshed"
"156","Wrath of the Berserker","Insanity"
"157","Rampage","Passive"
"158","Boon of Bul-Kathos","Passive"
"159","Berserker Rage","Passive"
"160","Brawler","Passive"
"161","Call of the Ancients","Together as One"
"162","Furious Charge","Merciless Assault"
"163","Ignore Pain","Iron Hide"
"164","War Cry","Impunity"
"165","Battle Rage","Bloodshed"
"166","Wrath of the Berserker","Striding Giant"
"167","Ruthless","Passive"
"168","Boon of Bul-Kathos","Passive"
"169","Berserker Rage","Passive"
"170","Superstition","Passive"
"171","Call of the Ancients","Together as One"
"172","Furious Charge","Stamina"
"173","Battle Rage","Bloodshed"
"174","War Cry","Impunity"
"175","Wrath of the Berserker","Striding Giant"
"176","Ignore Pain","Iron Hide"
"177","Brawler","Passive"
"178","Boon of Bul-Kathos","Passive"
"179","Superstition","Passive"
"180","Bloodthirst","Passive"
"181","Call of the Ancients","The Council Rises"
"182","Furious Charge","Merciless Assault"
"183","War Cry","Impunity"
"184","Battle Rage","Bloodshed"
"185","Sprint","Forced March"
"186","Wrath of the Berserker","Insanity"
"187","Rampage","Passive"
"188","Brawler","Passive"
"189","Berserker Rage","Passive"
"190","Boon of Bul-Kathos","Passive"
"191","Call of the Ancients","Together as One"
"192","War Cry","Impunity"
"193","Battle Rage","Bloodshed"
"194","Wrath of the Berserker","Striding Giant"
"195","Ignore Pain","Iron Hide"
"196","Furious Charge","Stamina"
"197","Boon of Bul-Kathos","Passive"
"198","Rampage","Passive"
"199","Superstition","Passive"
"200","Berserker Rage","Passive"
"201","Call of the Ancients","The Council Rises"
"202","Leap","Death from Above"
"203","War Cry","Charge!"
"204","Sprint","Marathon"
"205","Earthquake","Molten Fury"
"206","Wrath of the Berserker","Insanity"
"207","Rampage","Passive"
"208","Ruthless","Passive"
"209","Boon of Bul-Kathos","Passive"
"210","Superstition","Passive"
"211","Earthquake","Molten Fury"
"212","Leap","Call of Arreat"
"213","Ignore Pain","Ignorance is Bliss"
"214","Battle Rage","Bloodshed"
"215","War Cry","Impunity"
"216","Wrath of the Berserker","Insanity"
"217","Boon of Bul-Kathos","Passive"
"218","Superstition","Passive"
"219","Brawler","Passive"
"220","Ruthless","Passive"
"221","Whirlwind","Dust Devils"
"222","Call of the Ancients","Ancients' Fury"
"223","War Cry","Charge!"
"224","Sprint","Run Like the Wind"
"225","Furious Charge","Merciless Assault"
"226","Battle Rage","Bloodshed"
"227","Unforgiving","Passive"
"228","Animosity","Passive"
"229","Rampage","Passive"
"230","Weapons Master","Passive"
"231","Call of the Ancients","Together as One"
"232","Wrath of the Berserker","Striding Giant"
"233","War Cry","Impunity"
"234","Furious Charge","Dreadnought"
"235","Battle Rage","Into the Fray"
"236","Ignore Pain","Ignorance is Bliss"
"237","Superstition","Passive"
"238","Tough as Nails","Passive"
"239","Nerves of Steel","Passive"
"240","Relentless","Passive"
"241","Ground Stomp","Wrenching Smash"
"242","Battle Rage","Bloodshed"
"243","Furious Charge","Merciless Assault"
"244","Ignore Pain","Iron Hide"
"245","War Cry","Impunity"
"246","Wrath of the Berserker","Insanity"
"247","Berserker Rage","Passive"
"248","Boon of Bul-Kathos","Passive"
"249","Ruthless","Passive"
"250","Rampage","Passive"
"251","Frenzy","Vanguard"
"252","Furious Charge","Battering Ram"
"253","War Cry","Impunity"
"254","Call of the Ancients","The Council Rises"
"255","Battle Rage","Bloodshed"
"256","Wrath of the Berserker","Insanity"
"257","Rampage","Passive"
"258","Brawler","Passive"
"259","Berserker Rage","Passive"
"260","Boon of Bul-Kathos","Passive"
"261","Call of the Ancients","Together as One"
"262","Battle Rage","Bloodshed"
"263","Furious Charge","Merciless Assault"
"264","War Cry","Impunity"
"265","Wrath of the Berserker","Insanity"
"266","Ignore Pain","Iron Hide"
"267","Brawler","Passive"
"268","Berserker Rage","Passive"
"269","Boon of Bul-Kathos","Passive"
"270","Rampage","Passive"
"271","Call of the Ancients","Together as One"
"272","Ignore Pain","Ignorance is Bliss"
"273","Battle Rage","Bloodshed"
"274","Sprint","Marathon"
"275","Furious Charge","Merciless Assault"
"276","Wrath of the Berserker","Insanity"
"277","Brawler","Passive"
"278","Berserker Rage","Passive"
"279","Boon of Bul-Kathos","Passive"
"280","Rampage","Passive"
"281","Call of the Ancients","The Council Rises"
"282","Wrath of the Berserker","Insanity"
"283","Sprint","Marathon"
"284","Battle Rage","Bloodshed"
"285","Furious Charge","Battering Ram"
"286","Frenzy","Maniac"
"287","Berserker Rage","Passive"
"288","Boon of Bul-Kathos","Passive"
"289","Rampage","Passive"
"290","Ruthless","Passive"
"291","Furious Charge","Battering Ram"
"292","Call of the Ancients","Together as One"
"293","Ignore Pain","Ignorance is Bliss"
"294","War Cry","Impunity"
"295","Battle Rage","Bloodshed"
"296","Wrath of the Berserker","Striding Giant"
"297","Boon of Bul-Kathos","Passive"
"298","Brawler","Passive"
"299","Berserker Rage","Passive"
"300","Rampage","Passive"
"301","Frenzy","Maniac"
"302","Sprint","Marathon"
"303","Battle Rage","Bloodshed"
"304","Furious Charge","Merciless Assault"
"305","Wrath of the Berserker","Striding Giant"
"306","Ignore Pain","Ignorance is Bliss"
"307","Rampage","Passive"
"308","Berserker Rage","Passive"
"309","Brawler","Passive"
"310","Superstition","Passive"
"311","Call of the Ancients","The Council Rises"
"312","Furious Charge","Battering Ram"
"313","Sprint","Forced March"
"314","Wrath of the Berserker","Striding Giant"
"315","Battle Rage","Bloodshed"
"316","War Cry","Impunity"
"317","Boon of Bul-Kathos","Passive"
"318","Rampage","Passive"
"319","Superstition","Passive"
"320","Berserker Rage","Passive"
"321","Call of the Ancients","Together as One"
"322","Ignore Pain","Ignorance is Bliss"
"323","Furious Charge","Battering Ram"
"324","War Cry","Impunity"
"325","Battle Rage","Bloodshed"
"326","Wrath of the Berserker","Striding Giant"
"327","Boon of Bul-Kathos","Passive"
"328","Superstition","Passive"
"329","Berserker Rage","Passive"
"330","Rampage","Passive"
"331","Whirlwind","Dust Devils"
"332","Wrath of the Berserker","Insanity"
"333","Sprint","Run Like the Wind"
"334","Battle Rage","Bloodshed"
"335","War Cry","Impunity"
"336","Call of the Ancients","Ancients' Fury"
"337","Brawler","Passive"
"338","Ruthless","Passive"
"339","Rampage","Passive"
"340","Unforgiving","Passive"
"341","Call of the Ancients","Together as One"
"342","Whirlwind","Hurricane"
"343","Sprint","Forced March"
"344","Wrath of the Berserker","Insanity"
"345","Leap","Call of Arreat"
"346","Earthquake","Chilling Earth"
"347","Superstition","Passive"
"348","Brawler","Passive"
"349","Tough as Nails","Passive"
"350","Boon of Bul-Kathos","Passive"
"351","Call of the Ancients","Together as One"
"352","Battle Rage","Bloodshed"
"353","Ignore Pain","Ignorance is Bliss"
"354","Furious Charge","Merciless Assault"
"355","War Cry","Impunity"
"356","Wrath of the Berserker","Striding Giant"
"357","Ruthless","Passive"
"358","Berserker Rage","Passive"
"359","Rampage","Passive"
"360","Boon of Bul-Kathos","Passive"
"361","Whirlwind","Dust Devils"
"362","War Cry","Impunity"
"363","Sprint","Run Like the Wind"
"364","Wrath of the Berserker","Insanity"
"365","Battle Rage","Into the Fray"
"366","Call of the Ancients","Ancients' Fury"
"367","Rampage","Passive"
"368","Berserker Rage","Passive"
"369","Ruthless","Passive"
"370","Boon of Bul-Kathos","Passive"
"371","Call of the Ancients","The Council Rises"
"372","Sprint","Forced March"
"373","Battle Rage","Bloodshed"
"374","War Cry","Impunity"
"375","Furious Charge","Stamina"
"376","Wrath of the Berserker","Insanity"
"377","Brawler","Passive"
"378","Boon of Bul-Kathos","Passive"
"379","Berserker Rage","Passive"
"380","Rampage","Passive"
"381","Ground Stomp","Wrenching Smash"
"382","Ignore Pain","Iron Hide"
"383","Wrath of the Berserker","Striding Giant"
"384","War Cry","Impunity"
"385","Battle Rage","Bloodshed"
"386","Furious Charge","Merciless Assault"
"387","Berserker Rage","Passive"
"388","Boon of Bul-Kathos","Passive"
"389","Ruthless","Passive"
"390","Superstition","Passive"
"391","Call of the Ancients","The Council Rises"
"392","War Cry","Impunity"
"393","Sprint","Forced March"
"394","Battle Rage","Bloodshed"
"395","Wrath of the Berserker","Insanity"
"396","Furious Charge","Dreadnought"
"397","Rampage","Passive"
"398","Berserker Rage","Passive"
"399","Ruthless","Passive"
"400","Boon of Bul-Kathos","Passive"
"401","Call of the Ancients","Together as One"
"402","Furious Charge","Stamina"
"403","Ignore Pain","Ignorance is Bliss"
"404","Battle Rage","Bloodshed"
"405","War Cry","Impunity"
"406","Wrath of the Berserker","Insanity"
"407","Boon of Bul-Kathos","Passive"
"408","Brawler","Passive"
"409","Berserker Rage","Passive"
"410","Rampage","Passive"
"411","Earthquake","Chilling Earth"
"412","Leap","Death from Above"
"413","War Cry","Impunity"
"414","Wrath of the Berserker","Insanity"
"415","Call of the Ancients","The Council Rises"
"416","Hammer of the Ancients","The Devil's Anvil"
"417","Boon of Bul-Kathos","Passive"
"418","Ruthless","Passive"
"419","Relentless","Passive"
"420","Superstition","Passive"
"421","Call of the Ancients","Together as One"
"422","Furious Charge","Battering Ram"
"423","Wrath of the Berserker","Insanity"
"424","Sprint","Marathon"
"425","War Cry","Impunity"
"426","Battle Rage","Bloodshed"
"427","Boon of Bul-Kathos","Passive"
"428","Berserker Rage","Passive"
"429","Brawler","Passive"
"430","Superstition","Passive"
"431","Call of the Ancients","Together as One"
"432","Battle Rage","Bloodshed"
"433","Furious Charge","Battering Ram"
"434","Ignore Pain","Ignorance is Bliss"
"435","War Cry","Impunity"
"436","Wrath of the Berserker","Striding Giant"
"437","Brawler","Passive"
"438","Boon of Bul-Kathos","Passive"
"439","Berserker Rage","Passive"
"440","Superstition","Passive"
"441","Call of the Ancients","Together as One"
"442","Ignore Pain","Ignorance is Bliss"
"443","Battle Rage","Bloodshed"
"444","War Cry","Impunity"
"445","Furious Charge","Battering Ram"
"446","Wrath of the Berserker","Striding Giant"
"447","Berserker Rage","Passive"
"448","Brawler","Passive"
"449","Ruthless","Passive"
"450","Boon of Bul-Kathos","Passive"
"451","Frenzy","Maniac"
"452","Furious Charge","Battering Ram"
"453","Battle Rage","Bloodshed"
"454","Sprint","Marathon"
"455","Call of the Ancients","The Council Rises"
"456","War Cry","Hardened Wrath"
"457","Ruthless","Passive"
"458","Brawler","Passive"
"459","Boon of Bul-Kathos","Passive"
"460","Rampage","Passive"
"461","Seismic Slam","Shattered Ground"
"462","Call of the Ancients","Ancients' Fury"
"463","Battle Rage","Bloodshed"
"464","War Cry","Impunity"
"465","Wrath of the Berserker","Insanity"
"466","Leap","Iron Impact"
"467","Rampage","Passive"
"468","Ruthless","Passive"
"469","Bloodthirst","Passive"
"470","Boon of Bul-Kathos","Passive"
"471","Call of the Ancients","Together as One"
"472","Whirlwind","Wind Shear"
"473","Battle Rage","Bloodshed"
"474","Sprint","Run Like the Wind"
"475","Threatening Shout","Grim Harvest"
"476","War Cry","Impunity"
"477","Weapons Master","Passive"
"478","Berserker Rage","Passive"
"479","Inspiring Presence","Passive"
"480","Rampage","Passive"
"481","Call of the Ancients","Together as One"
"482","Furious Charge","Merciless Assault"
"483","Ignore Pain","Ignorance is Bliss"
"484","Battle Rage","Bloodshed"
"485","War Cry","Impunity"
"486","Wrath of the Berserker","Insanity"
"487","Boon of Bul-Kathos","Passive"
"488","Berserker Rage","Passive"
"489","Rampage","Passive"
"490","Ruthless","Passive"
"491","Furious Charge","Merciless Assault"
"492","War Cry","Impunity"
"493","Call of the Ancients","Together as One"
"494","Ignore Pain","Ignorance is Bliss"
"495","Wrath of the Berserker","Striding Giant"
"496","Battle Rage","Bloodshed"
"497","Berserker Rage","Passive"
"498","Boon of Bul-Kathos","Passive"
"499","Relentless","Passive"
"500","Superstition","Passive"
"501","Rend","Bloodbath"
"502","Whirlwind","Dust Devils"
"503","Battle Rage","Into the Fray"
"504","Sprint","Run Like the Wind"
"505","War Cry","Invigorate"
"506","Call of the Ancients","Ancients' Fury"
"507","Brawler","Passive"
"508","Bloodthirst","Passive"
"509","Rampage","Passive"
"510","Unforgiving","Passive"
"511","Earthquake","Cave-In"
"512","Leap","Death from Above"
"513","War Cry","Impunity"
"514","Wrath of the Berserker","Insanity"
"515","Call of the Ancients","Together as One"
"516","Battle Rage","Marauder's Rage"
"517","Superstition","Passive"
"518","Berserker Rage","Passive"
"519","Weapons Master","Passive"
"520","Boon of Bul-Kathos","Passive"
"521","Call of the Ancients","Together as One"
"522","Furious Charge","Stamina"
"523","War Cry","Impunity"
"524","Ignore Pain","Ignorance is Bliss"
"525","Battle Rage","Bloodshed"
"526","Wrath of the Berserker","Insanity"
"527","Berserker Rage","Passive"
"528","Superstition","Passive"
"529","Brawler","Passive"
"530","Rampage","Passive"
"531","Whirlwind","Wind Shear"
"532","Battle Rage","Bloodshed"
"533","Call of the Ancients","Ancients' Fury"
"534","War Cry","Impunity"
"535","Sprint","Run Like the Wind"
"536","Wrath of the Berserker","Insanity"
"537","Boon of Bul-Kathos","Passive"
"538","Ruthless","Passive"
"539","Rampage","Passive"
"540","Brawler","Passive"
"541","Call of the Ancients","Together as One"
"542","Furious Charge","Merciless Assault"
"543","Battle Rage","Bloodshed"
"544","Ignore Pain","Iron Hide"
"545","War Cry","Impunity"
"546","Wrath of the Berserker","Striding Giant"
"547","Boon of Bul-Kathos","Passive"
"548","Brawler","Passive"
"549","Berserker Rage","Passive"
"550","Rampage","Passive"
"551","Call of the Ancients","Together as One"
"552","Furious Charge","Battering Ram"
"553","Battle Rage","Bloodshed"
"554","Ignore Pain","Ignorance is Bliss"
"555","War Cry","Impunity"
"556","Wrath of the Berserker","Insanity"
"557","Berserker Rage","Passive"
"558","Superstition","Passive"
"559","Boon of Bul-Kathos","Passive"
"560","Brawler","Passive"
"561","Whirlwind","Dust Devils"
"562","Sprint","Run Like the Wind"
"563","Battle Rage","Marauder's Rage"
"564","Wrath of the Berserker","Insanity"
"565","Call of the Ancients","Ancients' Fury"
"566","War Cry","Impunity"
"567","Boon of Bul-Kathos","Passive"
"568","Ruthless","Passive"
"569","Rampage","Passive"
"570","Berserker Rage","Passive"
"571","Call of the Ancients","Together as One"
"572","War Cry","Impunity"
"573","Ignore Pain","Ignorance is Bliss"
"574","Battle Rage","Bloodshed"
"575","Wrath of the Berserker","Insanity"
"576","Furious Charge","Merciless Assault"
"577","Superstition","Passive"
"578","Berserker Rage","Passive"
"579","Ruthless","Passive"
"580","Rampage","Passive"
"581","Call of the Ancients","The Council Rises"
"582","Overpower","Killing Spree"
"583","Wrath of the Berserker","Insanity"
"584","Sprint","Run Like the Wind"
"585","Furious Charge","Merciless Assault"
"586","Battle Rage","Bloodshed"
"587","Superstition","Passive"
"588","Rampage","Passive"
"589","Boon of Bul-Kathos","Passive"
"590","Ruthless","Passive"
"591","Call of the Ancients","Together as One"
"592","Battle Rage","Bloodshed"
"593","War Cry","Impunity"
"594","Ignore Pain","Iron Hide"
"595","Furious Charge","Battering Ram"
"596","Wrath of the Berserker","Striding Giant"
"597","Rampage","Passive"
"598","Berserker Rage","Passive"
"599","Brawler","Passive"
"600","Boon of Bul-Kathos","Passive"
"601","Frenzy","Maniac"
"602","Furious Charge","Battering Ram"
"603","Wrath of the Berserker","Insanity"
"604","Ignore Pain","Ignorance is Bliss"
"605","Call of the Ancients","The Council Rises"
"606","Battle Rage","Bloodshed"
"607","Berserker Rage","Passive"
"608","Rampage","Passive"
"609","Brawler","Passive"
"610","Boon of Bul-Kathos","Passive"
"611","Call of the Ancients","Together as One"
"612","Furious Charge","Stamina"
"613","Wrath of the Berserker","Insanity"
"614","War Cry","Impunity"
"615","Battle Rage","Bloodshed"
"616","Sprint","Marathon"
"617","Berserker Rage","Passive"
"618","Superstition","Passive"
"619","Boon of Bul-Kathos","Passive"
"620","Brawler","Passive"
"621","Call of the Ancients","Together as One"
"622","Furious Charge","Stamina"
"623","Battle Rage","Bloodshed"
"624","War Cry","Impunity"
"625","Ignore Pain","Ignorance is Bliss"
"626","Wrath of the Berserker","Insanity"
"627","Brawler","Passive"
"628","Rampage","Passive"
"629","Berserker Rage","Passive"
"630","Superstition","Passive"
"631","Furious Charge","Battering Ram"
"632","Battle Rage","Bloodshed"
"633","Wrath of the Berserker","Insanity"
"634","Overpower","Killing Spree"
"635","Sprint","Forced March"
"636","War Cry","Impunity"
"637","Brawler","Passive"
"638","Rampage","Passive"
"639","Berserker Rage","Passive"
"640","Boon of Bul-Kathos","Passive"
"641","Call of the Ancients","Together as One"
"642","Furious Charge","Battering Ram"
"643","Wrath of the Berserker","Striding Giant"
"644","Battle Rage","Bloodshed"
"645","Ignore Pain","Ignorance is Bliss"
"646","War Cry","Impunity"
"647","Brawler","Passive"
"648","Berserker Rage","Passive"
"649","Rampage","Passive"
"650","Superstition","Passive"
"651","Frenzy","Maniac"
"652","Furious Charge","Merciless Assault"
"653","Ignore Pain","Iron Hide"
"654","Battle Rage","Bloodshed"
"655","Call of the Ancients","Together as One"
"656","Wrath of the Berserker","Insanity"
"657","Rampage","Passive"
"658","Brawler","Passive"
"659","Berserker Rage","Passive"
"660","Boon of Bul-Kathos","Passive"
"661","Frenzy","Maniac"
"662","Furious Charge","Merciless Assault"
"663","Ignore Pain","Ignorance is Bliss"
"664","Battle Rage","Bloodshed"
"665","Call of the Ancients","The Council Rises"
"666","Wrath of the Berserker","Insanity"
"667","Berserker Rage","Passive"
"668","Rampage","Passive"
"669","Boon of Bul-Kathos","Passive"
"670","Ruthless","Passive"
"671","Call of the Ancients","The Council Rises"
"672","Furious Charge","Merciless Assault"
"673","War Cry","Impunity"
"674","Ignore Pain","Iron Hide"
"675","Battle Rage","Bloodshed"
"676","Wrath of the Berserker","Insanity"
"677","Ruthless","Passive"
"678","Boon of Bul-Kathos","Passive"
"679","Berserker Rage","Passive"
"680","Rampage","Passive"
"681","Call of the Ancients","The Council Rises"
"682","Ignore Pain","Iron Hide"
"683","Leap","Death from Above"
"684","Earthquake","Molten Fury"
"685","War Cry","Impunity"
"686","Wrath of the Berserker","Insanity"
"687","Ruthless","Passive"
"688","Boon of Bul-Kathos","Passive"
"689","Superstition","Passive"
"690","Berserker Rage","Passive"
"691","Call of the Ancients","Together as One"
"692","Furious Charge","Battering Ram"
"693","Ignore Pain","Ignorance is Bliss"
"694","Battle Rage","Bloodshed"
"695","War Cry","Impunity"
"696","Wrath of the Berserker","Insanity"
"697","Ruthless","Passive"
"698","Boon of Bul-Kathos","Passive"
"699","Superstition","Passive"
"700","Berserker Rage","Passive"
"701","Frenzy","Maniac"
"702","Furious Charge","Battering Ram"
"703","Battle Rage","Bloodshed"
"704","Ignore Pain","Iron Hide"
"705","Call of the Ancients","The Council Rises"
"706","Wrath of the Berserker","Insanity"
"707","Berserker Rage","Passive"
"708","Ruthless","Passive"
"709","Brawler","Passive"
"710","Rampage","Passive"
"711","Call of the Ancients","The Council Rises"
"712","Furious Charge","Battering Ram"
"713","Battle Rage","Bloodshed"
"714","Overpower","Killing Spree"
"715","Ignore Pain","Ignorance is Bliss"
"716","Wrath of the Berserker","Insanity"
"717","Ruthless","Passive"
"718","Berserker Rage","Passive"
"719","Brawler","Passive"
"720","Rampage","Passive"
"721","Furious Charge","Battering Ram"
"722","Ignore Pain","Iron Hide"
"723","War Cry","Impunity"
"724","Battle Rage","Bloodshed"
"725","Call of the Ancients","The Council Rises"
"726","Wrath of the Berserker","Insanity"
"727","Berserker Rage","Passive"
"728","Superstition","Passive"
"729","Rampage","Passive"
"730","Ruthless","Passive"
"731","Frenzy","Maniac"
"732","Furious Charge","Battering Ram"
"733","Sprint","Marathon"
"734","Battle Rage","Bloodshed"
"735","Wrath of the Berserker","Insanity"
"736","Call of the Ancients","The Council Rises"
"737","Superstition","Passive"
"738","Berserker Rage","Passive"
"739","Rampage","Passive"
"740","Boon of Bul-Kathos","Passive"
"741","Frenzy","Maniac"
"742","Battle Rage","Bloodshed"
"743","Furious Charge","Battering Ram"
"744","Ignore Pain","Ignorance is Bliss"
"745","Call of the Ancients","The Council Rises"
"746","Wrath of the Berserker","Insanity"
"747","Berserker Rage","Passive"
"748","Rampage","Passive"
"749","Brawler","Passive"
"750","Ruthless","Passive"
"751","Call of the Ancients","Together as One"
"752","Ignore Pain","Ignorance is Bliss"
"753","Furious Charge","Merciless Assault"
"754","Battle Rage","Bloodshed"
"755","War Cry","Impunity"
"756","Wrath of the Berserker","Insanity"
"757","Brawler","Passive"
"758","Rampage","Passive"
"759","Ruthless","Passive"
"760","Boon of Bul-Kathos","Passive"
"761","Call of the Ancients","The Council Rises"
"762","Furious Charge","Battering Ram"
"763","Battle Rage","Bloodshed"
"764","Wrath of the Berserker","Insanity"
"765","War Cry","Impunity"
"766","Ignore Pain","Ignorance is Bliss"
"767","Superstition","Passive"
"768","Boon of Bul-Kathos","Passive"
"769","Rampage","Passive"
"770","Berserker Rage","Passive"
"771","Call of the Ancients","Together as One"
"772","Furious Charge","Merciless Assault"
"773","Battle Rage","Bloodshed"
"774","Wrath of the Berserker","Insanity"
"775","Ignore Pain","Ignorance is Bliss"
"776","War Cry","Impunity"
"777","Ruthless","Passive"
"778","Berserker Rage","Passive"
"779","Boon of Bul-Kathos","Passive"
"780","Superstition","Passive"
"781","Frenzy","Maniac"
"782","Furious Charge","Battering Ram"
"783","Ignore Pain","Ignorance is Bliss"
"784","Battle Rage","Bloodshed"
"785","Call of the Ancients","The Council Rises"
"786","Wrath of the Berserker","Insanity"
"787","Rampage","Passive"
"788","Superstition","Passive"
"789","Boon of Bul-Kathos","Passive"
"790","Berserker Rage","Passive"
"791","Call of the Ancients","Together as One"
"792","Furious Charge","Battering Ram"
"793","Ignore Pain","Ignorance is Bliss"
"794","War Cry","Impunity"
"795","Wrath of the Berserker","Insanity"
"796","Battle Rage","Bloodshed"
"797","Brawler","Passive"
"798","Superstition","Passive"
"799","Rampage","Passive"
"800","Ruthless","Passive"
"801","Call of the Ancients","Together as One"
"802","Furious Charge","Battering Ram"
"803","War Cry","Impunity"
"804","Ignore Pain","Iron Hide"
"805","Wrath of the Berserker","Insanity"
"806","Battle Rage","Bloodshed"
"807","Ruthless","Passive"
"808","Berserker Rage","Passive"
"809","Superstition","Passive"
"810","Boon of Bul-Kathos","Passive"
"811","Hammer of the Ancients","Smash"
"812","Furious Charge","Battering Ram"
"813","Wrath of the Berserker","Insanity"
"814","Call of the Ancients","The Council Rises"
"815","Battle Rage","Bloodshed"
"816","Ignore Pain","Iron Hide"
"817","Rampage","Passive"
"818","Ruthless","Passive"
"819","Boon of Bul-Kathos","Passive"
"820","Berserker Rage","Passive"
